filename,classification
ID=22_x=00_y=00.png,0
ID=22_x=00_y=01.png,0
ID=22_x=00_y=02.png,0
ID=22_x=00_y=03.png,0
ID=22_x=00_y=04.png,0
ID=22_x=00_y=05.png,0
ID=22_x=00_y=06.png,0
ID=22_x=00_y=07.png,0
ID=22_x=00_y=08.png,0
ID=22_x=00_y=09.png,0
ID=22_x=00_y=10.png,0
ID=22_x=00_y=11.png,0
ID=22_x=01_y=00.png,0
ID=22_x=01_y=01.png,0
ID=22_x=01_y=02.png,0
ID=22_x=01_y=03.png,0
ID=22_x=01_y=04.png,0
ID=22_x=01_y=05.png,0
ID=22_x=01_y=06.png,0
ID=22_x=01_y=07.png,0
ID=22_x=01_y=08.png,0
ID=22_x=01_y=09.png,0
ID=22_x=01_y=10.png,0
ID=22_x=01_y=11.png,0
ID=22_x=02_y=00.png,0
ID=22_x=02_y=01.png,0
ID=22_x=02_y=02.png,0
ID=22_x=02_y=03.png,0
ID=22_x=02_y=04.png,0
ID=22_x=02_y=05.png,0
ID=22_x=02_y=06.png,0
ID=22_x=02_y=07.png,0
ID=22_x=02_y=08.png,0
ID=22_x=02_y=09.png,0
ID=22_x=02_y=10.png,0
ID=22_x=02_y=11.png,1
ID=22_x=03_y=00.png,0
ID=22_x=03_y=01.png,0
ID=22_x=03_y=02.png,0
ID=22_x=03_y=03.png,0
ID=22_x=03_y=04.png,0
ID=22_x=03_y=05.png,0
ID=22_x=03_y=06.png,0
ID=22_x=03_y=07.png,0
ID=22_x=03_y=08.png,0
ID=22_x=03_y=09.png,exclude
ID=22_x=03_y=10.png,1
ID=22_x=03_y=11.png,1
ID=22_x=04_y=00.png,0
ID=22_x=04_y=01.png,0
ID=22_x=04_y=02.png,0
ID=22_x=04_y=03.png,0
ID=22_x=04_y=04.png,0
ID=22_x=04_y=05.png,0
ID=22_x=04_y=06.png,0
ID=22_x=04_y=07.png,0
ID=22_x=04_y=08.png,1
ID=22_x=04_y=09.png,1
ID=22_x=04_y=10.png,1
ID=22_x=04_y=11.png,0
ID=22_x=05_y=00.png,0
ID=22_x=05_y=01.png,0
ID=22_x=05_y=02.png,0
ID=22_x=05_y=03.png,exclude
ID=22_x=05_y=04.png,0
ID=22_x=05_y=05.png,0
ID=22_x=05_y=06.png,0
ID=22_x=05_y=07.png,0
ID=22_x=05_y=08.png,1
ID=22_x=05_y=09.png,1
ID=22_x=05_y=10.png,exclude
ID=22_x=05_y=11.png,0
ID=22_x=06_y=00.png,0
ID=22_x=06_y=01.png,0
ID=22_x=06_y=02.png,0
ID=22_x=06_y=03.png,0
ID=22_x=06_y=04.png,0
ID=22_x=06_y=05.png,0
ID=22_x=06_y=06.png,0
ID=22_x=06_y=07.png,1
ID=22_x=06_y=08.png,0
ID=22_x=06_y=09.png,0
ID=22_x=06_y=10.png,0
ID=22_x=06_y=11.png,0
ID=22_x=07_y=00.png,0
ID=22_x=07_y=01.png,0
ID=22_x=07_y=02.png,0
ID=22_x=07_y=03.png,0
ID=22_x=07_y=04.png,0
ID=22_x=07_y=05.png,0
ID=22_x=07_y=06.png,exclude
ID=22_x=07_y=07.png,0
ID=22_x=07_y=08.png,1
ID=22_x=07_y=09.png,1
ID=22_x=07_y=10.png,1
ID=22_x=07_y=11.png,1
ID=22_x=08_y=00.png,0
ID=22_x=08_y=01.png,0
ID=22_x=08_y=02.png,0
ID=22_x=08_y=03.png,0
ID=22_x=08_y=04.png,0
ID=22_x=08_y=05.png,0
ID=22_x=08_y=06.png,0
ID=22_x=08_y=07.png,0
ID=22_x=08_y=08.png,0
ID=22_x=08_y=09.png,0
ID=22_x=08_y=10.png,0
ID=22_x=08_y=11.png,0
ID=22_x=09_y=00.png,0
ID=22_x=09_y=01.png,exclude
ID=22_x=09_y=02.png,exclude
ID=22_x=09_y=03.png,0
ID=22_x=09_y=04.png,0
ID=22_x=09_y=05.png,0
ID=22_x=09_y=06.png,0
ID=22_x=09_y=07.png,0
ID=22_x=09_y=08.png,0
ID=22_x=09_y=09.png,0
ID=22_x=09_y=10.png,0
ID=22_x=09_y=11.png,0
ID=22_x=10_y=00.png,0
ID=22_x=10_y=01.png,exclude
ID=22_x=10_y=02.png,exclude
ID=22_x=10_y=03.png,0
ID=22_x=10_y=04.png,0
ID=22_x=10_y=05.png,0
ID=22_x=10_y=06.png,0
ID=22_x=10_y=07.png,exclude
ID=22_x=10_y=08.png,0
ID=22_x=10_y=09.png,0
ID=22_x=10_y=10.png,1
ID=22_x=10_y=11.png,exclude
ID=22_x=11_y=00.png,0
ID=22_x=11_y=01.png,1
ID=22_x=11_y=02.png,1
ID=22_x=11_y=03.png,1
ID=22_x=11_y=04.png,1
ID=22_x=11_y=05.png,0
ID=22_x=11_y=06.png,0
ID=22_x=11_y=07.png,0
ID=22_x=11_y=08.png,0
ID=22_x=11_y=09.png,1
ID=22_x=11_y=10.png,0
ID=22_x=11_y=11.png,0
ID=22_x=12_y=00.png,0
ID=22_x=12_y=01.png,0
ID=22_x=12_y=02.png,0
ID=22_x=12_y=03.png,0
ID=22_x=12_y=04.png,1
ID=22_x=12_y=05.png,1
ID=22_x=12_y=06.png,1
ID=22_x=12_y=07.png,1
ID=22_x=12_y=08.png,1
ID=22_x=12_y=09.png,1
ID=22_x=12_y=10.png,0
ID=22_x=12_y=11.png,0
ID=22_x=13_y=00.png,0
ID=22_x=13_y=01.png,0
ID=22_x=13_y=02.png,0
ID=22_x=13_y=03.png,0
ID=22_x=13_y=04.png,0
ID=22_x=13_y=05.png,0
ID=22_x=13_y=06.png,exclude
ID=22_x=13_y=07.png,exclude
ID=22_x=13_y=08.png,0
ID=22_x=13_y=09.png,0
ID=22_x=13_y=10.png,0
ID=22_x=13_y=11.png,0
